value,?1,counter,?2,?3,ratio,?5,adjacency,virtual
22916326355,,cycles:u,5504899781,100.00,,,vector,true
75751637454,,instructions:u,5504899781,100.00,3.31,insn per cycle,vector,true
1865,,page-faults:u,5504968165,100.00,,,vector,true
25391987835,,L1-dcache-loads:u,5602088795,100.00,,,vector,true
66282800,,L1-dcache-load-misses:u,5602088795,100.00,0.26,of all L1-dcache accesses,vector,true
12274430194,,branches:u,5602088795,100.00,,,vector,true
63273521,,branch-misses:u,5602088795,100.00,0.52,of all branches,vector,true
277710904273,,cycles:u,66513092196,100.00,,,vector,true
931486858930,,instructions:u,66513092196,100.00,3.35,insn per cycle,vector,true
1867,,page-faults:u,66514304104,100.00,,,vector,true
312390779407,,L1-dcache-loads:u,66813633813,100.00,,,vector,true
765979696,,L1-dcache-load-misses:u,66813633813,100.00,0.25,of all L1-dcache accesses,vector,true
150907242123,,branches:u,66813633813,100.00,,,vector,true
749936960,,branch-misses:u,66813633813,100.00,0.50,of all branches,vector,true
178706609073,,cycles:u,42726677891,100.00,,,vector,true
589897938794,,instructions:u,42726677891,100.00,3.30,insn per cycle,vector,true
1869,,page-faults:u,42726618889,100.00,,,vector,true
197832094058,,L1-dcache-loads:u,42294912410,100.00,,,vector,true
493209747,,L1-dcache-load-misses:u,42294912410,100.00,0.25,of all L1-dcache accesses,vector,true
95571852225,,branches:u,42294912410,100.00,,,vector,true
482292972,,branch-misses:u,42294912410,100.00,0.50,of all branches,vector,true
137960859413,,cycles:u,32985603732,100.00,,,vector,true
457440308800,,instructions:u,32985603732,100.00,3.32,insn per cycle,vector,true
1868,,page-faults:u,32985546460,100.00,,,vector,true
153429948134,,L1-dcache-loads:u,32846070001,100.00,,,vector,true
389872686,,L1-dcache-load-misses:u,32846070001,100.00,0.25,of all L1-dcache accesses,vector,true
74146717021,,branches:u,32846070001,100.00,,,vector,true
385002233,,branch-misses:u,32846070001,100.00,0.52,of all branches,vector,true
220813625390,,cycles:u,52794300380,100.00,,,vector,true
726040465227,,instructions:u,52794300380,100.00,3.29,insn per cycle,vector,true
1870,,page-faults:u,52794221681,100.00,,,vector,true
243525605213,,L1-dcache-loads:u,52593672900,100.00,,,vector,true
607733981,,L1-dcache-load-misses:u,52593672900,100.00,0.25,of all L1-dcache accesses,vector,true
117669604942,,branches:u,52593672900,100.00,,,vector,true
626176010,,branch-misses:u,52593672900,100.00,0.53,of all branches,vector,true
21430076300,,cycles:u,5139204562,100.00,,,vector,false
66244699269,,instructions:u,5139204562,100.00,3.09,insn per cycle,vector,false
1867,,page-faults:u,5139223998,100.00,,,vector,false
20703016501,,L1-dcache-loads:u,4793480143,100.00,,,vector,false
49176595,,L1-dcache-load-misses:u,4793480143,100.00,0.24,of all L1-dcache accesses,vector,false
9711615487,,branches:u,4793480143,100.00,,,vector,false
62518414,,branch-misses:u,4793480143,100.00,0.64,of all branches,vector,false
247204145045,,cycles:u,59122174697,100.00,,,vector,false
814239803728,,instructions:u,59122174697,100.00,3.29,insn per cycle,vector,false
1866,,page-faults:u,59121988098,100.00,,,vector,false
