iteration ,parse ,solve ,decision ,unit    ,visit    ,restart ,adjacency     ,virtual
        0 ,    2 , 1129 ,   21810 , 212510 , 2337531 ,      0 ,vector        ,true
        1 ,    2 , 1092 ,   21810 , 212510 , 2337531 ,      0 ,vector        ,true
        2 ,    2 , 1091 ,   21810 , 212510 , 2337531 ,      0 ,vector        ,true
        3 ,    2 , 1091 ,   21810 , 212510 , 2337531 ,      0 ,vector        ,true
        4 ,    2 , 1091 ,   21810 , 212510 , 2337531 ,      0 ,vector        ,true
        0 ,    2 ,13327 ,  282452 ,2614575 ,29969854 ,      0 ,vector        ,true
        1 ,    2 ,13322 ,  282452 ,2614575 ,29969854 ,      0 ,vector        ,true
        2 ,    2 ,13325 ,  282452 ,2614575 ,29969854 ,      0 ,vector        ,true
        3 ,    2 ,13322 ,  282452 ,2614575 ,29969854 ,      0 ,vector        ,true
        4 ,    2 ,13321 ,  282452 ,2614575 ,29969854 ,      0 ,vector        ,true
        0 ,    2 , 8437 ,  178690 ,1652428 ,19054012 ,      0 ,vector        ,true
        1 ,    2 , 8431 ,  178690 ,1652428 ,19054012 ,      0 ,vector        ,true
        2 ,    2 , 8430 ,  178690 ,1652428 ,19054012 ,      0 ,vector        ,true
        3 ,    2 , 8430 ,  178690 ,1652428 ,19054012 ,      0 ,vector        ,true
        4 ,    2 , 8431 ,  178690 ,1652428 ,19054012 ,      0 ,vector        ,true
        0 ,    2 , 6648 ,  142616 ,1292525 ,15023294 ,      0 ,vector        ,true
        1 ,    2 , 6652 ,  142616 ,1292525 ,15023294 ,      0 ,vector        ,true
        2 ,    2 , 6646 ,  142616 ,1292525 ,15023294 ,      0 ,vector        ,true
        3 ,    2 , 6646 ,  142616 ,1292525 ,15023294 ,      0 ,vector        ,true
        4 ,    2 , 6649 ,  142616 ,1292525 ,15023294 ,      0 ,vector        ,true
        0 ,    2 ,10423 ,  221442 ,2050180 ,23704775 ,      0 ,vector        ,true
        1 ,    2 ,10421 ,  221442 ,2050180 ,23704775 ,      0 ,vector        ,true
        2 ,    2 ,10425 ,  221442 ,2050180 ,23704775 ,      0 ,vector        ,true
        3 ,    2 ,10421 ,  221442 ,2050180 ,23704775 ,      0 ,vector        ,true
        4 ,    2 ,10421 ,  221442 ,2050180 ,23704775 ,      0 ,vector        ,true
        0 ,    2 ,  954 ,   21810 , 212510 , 2337531 ,      0 ,vector        ,false
        1 ,    2 ,  952 ,   21810 , 212510 , 2337531 ,      0 ,vector        ,false
        2 ,    2 ,  938 ,   21810 , 212510 , 2337531 ,      0 ,vector        ,false
        3 ,    2 ,  947 ,   21810 , 212510 , 2337531 ,      0 ,vector        ,false
        4 ,    2 ,  953 ,   21810 , 212510 , 2337531 ,      0 ,vector        ,false
        0 ,    2 ,11609 ,  282452 ,2613350 ,29954490 ,      0 ,vector        ,false
