parse,solve,decisions,unit,visit,restart,cdcl,adjacency,clause,decision,sat,var
1,0,49,522,8430,0,true,list,basic,trivial,true,50
1,0,16,100,1516,0,true,list,basic,trivial,true,50
1,0,19,186,2880,0,true,list,basic,trivial,true,50
1,1,113,1294,24292,0,true,list,basic,trivial,true,50
1,0,50,600,9939,0,true,list,basic,trivial,true,50
1,0,14,44,759,0,true,list,basic,trivial,true,50
1,0,32,331,5411,0,true,list,basic,trivial,true,50
1,1,125,1480,29350,0,true,list,basic,trivial,true,50
1,0,40,372,6070,0,true,list,basic,trivial,true,50
1,1,134,1605,32324,1,true,list,basic,trivial,true,50
1,3,246,3199,74790,1,true,list,basic,trivial,false,50
1,2,203,2352,50136,1,true,list,basic,trivial,false,50
1,2,184,2461,51342,1,true,list,basic,trivial,false,50
1,1,114,1568,30349,0,true,list,basic,trivial,false,50
1,0,52,584,9457,0,true,list,basic,trivial,false,50
1,2,153,1848,37984,1,true,list,basic,trivial,false,50
1,0,52,724,12405,0,true,list,basic,trivial,false,50
1,2,193,2596,54627,1,true,list,basic,trivial,false,50
1,2,179,2353,49223,1,true,list,basic,trivial,false,50
1,1,140,1793,35133,1,true,list,basic,trivial,false,50
1,0,35,335,5065,0,true,list,basic,trivial,true,75
1,2,148,2660,48133,1,true,list,basic,trivial,true,75
1,1,75,1143,18358,0,true,list,basic,trivial,true,75
1,0,64,844,13262,0,true,list,basic,trivial,true,75
1,10,499,8242,200065,2,true,list,basic,trivial,true,75
1,11,549,7995,203717,2,true,list,basic,trivial,true,75
1,2,133,2120,40657,0,true,list,basic,trivial,true,75
1,12,554,8696,225730,2,true,list,basic,trivial,true,75
1,0,27,246,3699,0,true,list,basic,trivial,true,75
1,3,189,3041,58634,1,true,list,basic,trivial,true,75
1,12,550,8961,230529,2,true,list,basic,trivial,false,75
1,8,474,7221,165926,2,true,list,basic,trivial,false,75
1,169,2539,42646,3371786,4,true,list,basic,trivial,false,75
1,11,589,8907,234446,2,true,list,basic,trivial,false,75
1,44,1324,22199,925361,3,true,list,basic,trivial,false,75
1,17,685,11957,358816,2,true,list,basic,trivial,false,75
1,18,814,13159,400029,3,true,list,basic,trivial,false,75
1,34,1267,18743,735697,3,true,list,basic,trivial,false,75
1,9,507,8289,199143,2,true,list,basic,trivial,false,75
1,23,847,13802,480351,3,true,list,basic,trivial,false,75
2,23,756,14986,450243,2,true,list,basic,trivial,true,100
2,115,2463,43998,2375592,4,true,list,basic,trivial,true,100
2,252,3558,65644,5330926,4,true,list,basic,trivial,true,100
2,39,1148,23280,724387,3,true,list,basic,trivial,true,100
2,16,722,12243,316761,2,true,list,basic,trivial,true,100
2,132,2633,47716,2686777,4,true,list,basic,trivial,true,100
2,140,2727,48916,2957253,4,true,list,basic,trivial,true,100
2,15,617,11747,295338,2,true,list,basic,trivial,true,100
2,75,1705,32336,1514243,3,true,list,basic,trivial,true,100
2,0,57,897,13967,0,true,list,basic,trivial,true,100
2,53,1526,27501,1122256,3,true,list,basic,trivial,false,100
2,223,3212,64124,4715050,4,true,list,basic,trivial,false,100
2,198,2987,56389,4151825,4,true,list,basic,trivial,false,100
2,92,2061,36115,1908451,3,true,list,basic,trivial,false,100
2,98,2022,35215,1989134,3,true,list,basic,trivial,false,100
2,684,5120,102996,14054619,5,true,list,basic,trivial,false,100
2,150,2665,50932,3148471,4,true,list,basic,trivial,false,100
2,406,4170,80370,8326412,4,true,list,basic,trivial,false,100
2,240,3233,65139,4979584,4,true,list,basic,trivial,false,100
2,148,2775,53395,3132165,4,true,list,basic,trivial,false,100
2,607,5228,111645,12286540,5,true,list,basic,trivial,true,125
2,381,4371,89529,7424648,4,true,list,basic,trivial,true,125
2,46,1339,26661,857753,3,true,list,basic,trivial,true,125
2,3517,11976,276306,69559339,5,true,list,basic,trivial,true,125
2,509,4671,106684,10317299,4,true,list,basic,trivial,true,125
2,180,2831,60257,3476979,4,true,list,basic,trivial,true,125
2,5061,14935,329073,100334457,6,true,list,basic,trivial,true,125
2,4,244,4040,71203,1,true,list,basic,trivial,true,125
2,15,603,11342,282683,2,true,list,basic,trivial,true,125
2,117,2085,45085,2252193,3,true,list,basic,trivial,true,125
2,1356,8740,188677,28753420,5,true,list,basic,trivial,false,125
2,2195,9733,208395,43016143,5,true,list,basic,trivial,false,125
2,4628,15729,346496,96968914,6,true,list,basic,trivial,false,125
2,1506,8290,192767,30924859,5,true,list,basic,trivial,false,125
2,4952,16155,362191,104592928,6,true,list,basic,trivial,false,125
2,4031,12282,274090,79538342,5,true,list,basic,trivial,false,125
2,613,4952,111329,12142736,4,true,list,basic,trivial,false,125
2,410,4493,101141,8758936,4,true,list,basic,trivial,false,125
2,807,6111,130156,16207913,5,true,list,basic,trivial,false,125
2,8369,19610,436391,158311166,6,true,list,basic,trivial,false,125
1,0,36,206,3449,0,true,list,basic,random,true,50
1,0,56,606,10092,0,true,list,basic,random,true,50
1,0,58,485,8166,0,true,list,basic,random,true,50
1,1,181,1820,37529,1,true,list,basic,random,true,50
1,0,107,1102,20586,0,true,list,basic,random,true,50
1,0,44,442,7032,0,true,list,basic,random,true,50
1,0,62,497,8320,0,true,list,basic,random,true,50
1,0,8,42,654,0,true,list,basic,random,true,50
1,0,23,244,3823,0,true,list,basic,random,true,50
1,5,391,4570,124368,2,true,list,basic,random,true,50
1,1,166,1885,37771,1,true,list,basic,random,false,50
1,1,106,1143,21623,0,true,list,basic,random,false,50
1,1,151,1625,31846,1,true,list,basic,random,false,50
1,1,108,1236,24301,0,true,list,basic,random,false,50
1,1,121,1166,23118,0,true,list,basic,random,false,50
1,0,105,1053,19714,0,true,list,basic,random,false,50
1,1,166,1924,40413,1,true,list,basic,random,false,50
1,1,170,1982,40011,1,true,list,basic,random,false,50
1,2,189,2149,43814,1,true,list,basic,random,false,50
1,1,168,1917,39868,1,true,list,basic,random,false,50
1,0,47,372,5732,0,true,list,basic,random,true,75
1,0,42,546,7999,0,true,list,basic,random,true,75
1,28,1174,15841,633761,3,true,list,basic,random,true,75
1,3,274,3615,77110,1,true,list,basic,random,true,75
1,2,224,3049,60965,1,true,list,basic,random,true,75
1,5,358,4828,112703,1,true,list,basic,random,true,75
1,8,504,6808,174441,2,true,list,basic,random,true,75
1,1,142,1647,29759,0,true,list,basic,random,true,75
1,0,30,330,4903,0,true,list,basic,random,true,75
1,3,237,3576,73857,1,true,list,basic,random,true,75
1,49,1476,21369,1023490,3,true,list,basic,random,false,75
1,15,808,10699,355945,2,true,list,basic,random,false,75
1,48,1496,21581,1011782,3,true,list,basic,random,false,75
1,35,1277,18058,781962,3,true,list,basic,random,false,75
1,70,1779,27599,1595792,3,true,list,basic,random,false,75
1,22,1029,14392,512133,3,true,list,basic,random,false,75
1,47,1449,21565,1059654,3,true,list,basic,random,false,75
1,21,980,13614,492381,3,true,list,basic,random,false,75
1,22,1012,13446,489129,3,true,list,basic,random,false,75
1,10,642,8497,240860,2,true,list,basic,random,false,75
2,5,329,5186,107340,1,true,list,basic,random,true,100
2,28,1107,17469,596053,3,true,list,basic,random,true,100
2,11,629,8967,222987,2,true,list,basic,random,true,100
2,1,127,1481,24840,0,true,list,basic,random,true,100
2,17,773,12196,352396,2,true,list,basic,random,true,100
2,797,6784,110741,16339671,5,true,list,basic,random,true,100
2,11,619,9411,242307,2,true,list,basic,random,true,100
2,28,1071,17688,593508,3,true,list,basic,random,true,100
2,4,293,4326,83671,1,true,list,basic,random,true,100
2,9,513,8358,199616,2,true,list,basic,random,true,100
2,592,5480,89487,12512179,4,true,list,basic,random,false,100
2,1295,8863,145654,27170739,5,true,list,basic,random,false,100
2,322,4319,68559,6725545,4,true,list,basic,random,false,100
2,94,2196,33249,1987346,3,true,list,basic,random,false,100
2,241,3691,62339,5084429,4,true,list,basic,random,false,100
2,3000,11762,209318,61553032,5,true,list,basic,random,false,100
2,2481,11263,190379,51165583,5,true,list,basic,random,false,100
2,255,3855,64721,5362453,4,true,list,basic,random,false,100
2,1731,9753,165629,35420618,5,true,list,basic,random,false,100
2,514,5087,86541,10899259,4,true,list,basic,random,false,100
2,180,2870,54238,3531113,4,true,list,basic,random,true,125
2,4976,15503,298449,96039315,6,true,list,basic,random,true,125
2,12,609,10558,256882,2,true,list,basic,random,true,125
2,407,4662,86300,8063857,4,true,list,basic,random,true,125
2,2574,11646,218802,51260625,5,true,list,basic,random,true,125
2,924,6771,125667,17370569,5,true,list,basic,random,true,125
2,28481,31410,603074,439764554,6,true,list,basic,random,true,125
2,8576,21175,396635,166986592,6,true,list,basic,random,true,125
2,746,5741,108884,14267544,4,true,list,basic,random,true,125
2,56,1614,28976,1105488,3,true,list,basic,random,true,125
2,7389,20148,372190,143814037,6,true,list,basic,random,false,125
2,13142,25435,487982,247705463,6,true,list,basic,random,false,125
2,32791,33692,654391,500041834,6,true,list,basic,random,false,125
2,19175,28465,540508,324109210,6,true,list,basic,random,false,125
2,20640,29222,552564,348439972,6,true,list,basic,random,false,125
2,35825,34292,661304,529218894,6,true,list,basic,random,false,125
2,9419,23404,431723,190102020,6,true,list,basic,random,false,125
2,5950,18564,339509,118060202,6,true,list,basic,random,false,125
2,5119,17360,308025,102566473,6,true,list,basic,random,false,125
2,63533,46954,927583,890222254,7,true,list,basic,random,false,125
1,0,46,701,11179,0,true,list,basic,JW_static,true,50
1,0,14,122,1838,0,true,list,basic,JW_static,true,50
1,0,57,615,10097,0,true,list,basic,JW_static,true,50
1,0,26,178,2779,0,true,list,basic,JW_static,true,50
1,0,61,659,10846,0,true,list,basic,JW_static,true,50
1,0,21,158,2414,0,true,list,basic,JW_static,true,50
1,0,8,49,755,0,true,list,basic,JW_static,true,50
1,0,16,92,1437,0,true,list,basic,JW_static,true,50
1,0,39,417,6685,0,true,list,basic,JW_static,true,50
1,0,41,586,9068,0,true,list,basic,JW_static,true,50
1,0,33,531,8358,0,true,list,basic,JW_static,false,50
1,0,38,664,10180,0,true,list,basic,JW_static,false,50
1,0,61,817,13621,0,true,list,basic,JW_static,false,50
1,0,42,700,11301,0,true,list,basic,JW_static,false,50
1,0,31,413,6622,0,true,list,basic,JW_static,false,50
1,0,38,585,9139,0,true,list,basic,JW_static,false,50
1,0,28,394,6088,0,true,list,basic,JW_static,false,50
1,0,49,545,9052,0,true,list,basic,JW_static,false,50
1,0,34,446,7182,0,true,list,basic,JW_static,false,50
1,0,37,566,8770,0,true,list,basic,JW_static,false,50
1,0,29,248,3666,0,true,list,basic,JW_static,true,75
1,3,182,3232,57896,1,true,list,basic,JW_static,true,75
1,7,365,6350,136232,2,true,list,basic,JW_static,true,75
1,0,54,574,8940,0,true,list,basic,JW_static,true,75
1,0,28,234,3411,0,true,list,basic,JW_static,true,75
1,3,200,3363,61713,1,true,list,basic,JW_static,true,75
1,1,97,1717,27521,0,true,list,basic,JW_static,true,75
1,0,17,100,1542,0,true,list,basic,JW_static,true,75
1,1,100,1777,30076,0,true,list,basic,JW_static,true,75
1,0,38,660,9771,0,true,list,basic,JW_static,true,75
1,2,169,3148,54588,1,true,list,basic,JW_static,false,75
1,1,82,1739,29818,0,true,list,basic,JW_static,false,75
1,8,411,6670,156881,2,true,list,basic,JW_static,false,75
1,2,150,2425,43287,1,true,list,basic,JW_static,false,75
1,4,244,4746,92189,1,true,list,basic,JW_static,false,75
1,3,174,3166,59337,1,true,list,basic,JW_static,false,75
1,3,220,3738,69043,1,true,list,basic,JW_static,false,75
1,2,140,2551,47216,1,true,list,basic,JW_static,false,75
1,2,143,2236,44280,1,true,list,basic,JW_static,false,75
1,2,151,2781,48986,1,true,list,basic,JW_static,false,75
2,5,270,5800,109651,1,true,list,basic,JW_static,true,100
2,3,207,3867,68341,1,true,list,basic,JW_static,true,100
2,2,124,2580,44514,0,true,list,basic,JW_static,true,100
2,0,78,1096,17311,0,true,list,basic,JW_static,true,100
2,3,186,3867,67892,1,true,list,basic,JW_static,true,100
2,9,384,8614,182382,2,true,list,basic,JW_static,true,100
2,1,66,1173,18117,0,true,list,basic,JW_static,true,100
2,23,697,16483,456004,2,true,list,basic,JW_static,true,100
2,1,92,1677,25219,0,true,list,basic,JW_static,true,100
2,0,57,684,10002,0,true,list,basic,JW_static,true,100
2,16,605,14021,349363,2,true,list,basic,JW_static,false,100
2,44,1333,27079,996872,3,true,list,basic,JW_static,false,100
2,9,430,9011,195577,2,true,list,basic,JW_static,false,100
2,12,533,10815,274527,2,true,list,basic,JW_static,false,100
2,4,237,5183,98727,1,true,list,basic,JW_static,false,100
2,38,1051,24685,799485,3,true,list,basic,JW_static,false,100
